Production_ID,Product_ID,Start_Date,End_Date,Planned_Quantity,Actual_Quantity,Defective_Units,Machine_ID,Operator,Shift,Production_Cost,Status
PROD001,PR001,2024-01-20,2024-01-25,100,98,2,M001,Rahul,Morning,180000,Completed
PROD002,PR006,2024-01-22,2024-01-27,300,295,5,M002,Priya,Evening,82000,Completed
PROD003,PR003,2024-02-01,2024-02-05,150,148,2,M003,Amit,Morning,62000,Completed
PROD004,PR007,2024-02-10,2024-02-12,1000,990,10,M001,Sneha,Night,12000,Completed
PROD005,PR009,2024-02-20,2024-02-25,200,195,5,M002,Ravi,Morning,45000,Completed
PROD006,PR013,2024-03-01,2024-03-08,40,38,2,M003,Rahul,Evening,118000,Completed
PROD007,PR015,2024-03-15,2024-03-20,400,392,8,M001,Priya,Morning,102000,Completed
PROD008,PR001,2024-03-22,2024-03-28,120,,3,M002,Amit,Night,,In Progress
PROD009,PR006,2024-04-01,2024-04-06,250,242,8,M003,Sneha,Morning,68000,Completed
PROD010,PR003,2024-04-10,2024-04-15,100,97,3,M001,Ravi,Evening,41000,Completed
PROD011,PR007,2024-04-20,2024-04-22,2000,1950,50,M002,Rahul,Morning,24000,Completed
PROD012,PR009,2024-05-01,2024-05-06,300,,10,M003,Priya,Night,,In Progress
PROD013,PR015,2024-05-10,2024-05-15,500,488,12,M001,Amit,Morning,127000,Completed
PROD014,PR013,2024-05-20,2024-05-27,60,57,3,M002,Sneha,Evening,197000,Completed
PROD015,PR012,2024-05-28,,80,,5,M003,Ravi,Morning,,In Progress
